penyinaran,kelembapan,angin,temperatur,uap,curah,IR
58,80,3,23.6,3.9,183.8,8.51077073
55,81,4,23.1,3.5,208.5,5.462136438
38,83,4,22.9,4.1,200.5,3.74727965
53,83,3,23.4,3.2,165.6,2.635798398
58,80,3,23.6,3.2,183.8,3.429713578
71,80,3,23.4,3.1,101,2.540528576
88,73,3,23,4.1,24.2,2.731068219
87,71,3,23.6,4.5,0.5,5.589162867
76,70,3,24.4,4.7,24,1.429047324
56,76,3,23.4,4.2,234.5,2.318232326
48,81,3,23.3,3.6,318.2,1.302020895
50,82,3,23.5,3.9,271.1,2.413502147
49,84,2,22.9,3.2,353.3,1.669554786
43,87,3,23.2,3.1,557.1,4.063633348
46,86,3,23.1,3.5,531,3.118602337
72,78,3,24.6,4.3,93,3.244606472
57,83,3,24,3.4,345,2.646086831
51,84,3,23.3,2.9,131.9,4.095134382
49,85,3,22.9,2.8,220.8,5.449678831
56,81,3,23.3,3.3,106.1,2.173571326
48,85,3,22.9,3.5,424.4,2.772090966
43,82,3,23.2,3.3,292.2,3.591117843
42,85,3,23.3,3.5,401.4,2.614585798
38,82,4,23,3.2,237.5,1.921563056
42,79,4,23,3.9,63,3.090602559
59,78,5,23.5,4.3,76.7,3.090602559
49,77,3,23.5,3.6,89.4,3.399662815
60,79,3,23.4,3.8,381.5,2.966978457
60,80,3,23.6,3.2,193.4,3.986877302
74,75,3,23.3,3.6,117.6,2.10160974
79,74,3,22.8,3.4,77.2,4.635903839
85,69,3,23,4.1,3.1,3.337850764
77,69,3,23.4,4.4,102.8,3.523286918
63,73,3,24.1,4.2,103.6,0.710838589
41,83,3,22.9,3.5,321.4,1.143522947
46,79,3,24,3.7,259,1.452583203
42,78,4,23.4,3.8,83,2.715568383
58,79,3,23.5,4.1,304,2.357471454
56,75,4,23.7,4.5,156,3.043823902
66,81,3,23.5,3.2,291,3.372079421
66,77,3,23.2,3.4,257,3.222872367
76,74,3,23.3,3.3,61,2.267947221
78,71,3,22.6,3.7,34,3.401920832
87,67,3,23.2,4.3,0,3.103506724
75,67,3,24,4.7,27,3.610810708
62,74,3,24.2,4.2,125,2.506678508
39,83,3,23.3,3.1,537,2.417154275
44,83,3,23.3,3.8,637,1.939691702
49,79,4,23.4,3.9,216.9,3.406279594
52,80,4,23.4,3.7,250,3.9642047
58,79,4,23.8,4.2,305,3.788017824
53,82,3,23.7,3.2,286,4.316578451
53,82,3,23.5,3.3,171,3.141999281
61,78,3,23.6,3.4,231.5,3.758653345
55,77,3,22.5,3.1,159,3.112634801
79,71,3,23.2,4.2,74,2.084878027
75,70,3,23.7,4.4,171.7,2.554709695
69,73,3,23.7,4.4,233.9,2.525345216
64,74,4,23.8,4.0,164,1.820597714
40,80,3,23.1,3.5,418,2.143606986
42,82,4,22.5,3.3,309,2.766257309
47,80,4,22.9,3.6,89,3.054409112
52,82,3,23.3,3.4,418.7,3.976494881
58,81,3,23.7,3.7,217.6,2.478105506
58,81,3,23.5,3.0,176.7,1.210237573
57,80,3,23.5,2.7,196,1.613650097
66,77,3,23,3.2,181,0
77,73,3,23.1,3.7,120,0
87,64,3,23.7,4.8,1,0
64,67,4,24.2,4.1,65,0
49,79,3,23.6,3.5,297,0
43,80,4,23.7,3.8,316,0
54,79,4,23.2,3.8,233.5,4.414119069
55,80,5,23.1,3.7,170,3.338884937
60,74,5,23.4,4.0,425.5,2.122172629
49,74,4,23.6,3.4,514.6,0.820573417
66,77,4,23.4,3.1,35.2,3.253998032
81,74,4,23.1,3.4,22,1.386486118
85,70,4,23.1,3.6,5.5,1.556259928
87,66,4,23.6,4.3,20,1.386486118
86,64,4,23.8,4.8,5.5,1.924103184
80,61,4,24.1,4.8,21,2.829563506
53,79,4,23.9,3.9,472.2,2.744676601
48,82,4,23.7,3.9,377.8,2.999337316
52,81,4,23.8,3.9,302,3.253051543
40,80,5,24,3.1,183,4.448617495
44,83,4,24.1,3.2,436,9.425508317
53,84,4,24,3.0,416,10.76009357
54,83,4,24,2.8,270.9,13.31804863
57,79,4,23.7,3.0,253,15.70918053
70,79,4,23.3,3.1,255.5,12.34491355
67,66,4,23.6,3.4,120.7,5.032498541
53,80,4,23.6,3.3,494,7.534845882
37,83,4,23.1,2.8,662,5.532968009
39,84,4,23.4,3.2,625.2,4.837871526
51,73,6,24.4,3.7,139,4.448617495
